country,Year,Wind Generation - TWh,Solar Generation - TWh,Geo Biomass Other - TWh,Hydro Generation - TWh,Code,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from other renewables including bioenergy (TWh)
Africa,2000,0.1755,0.011941,2.269063158,75.24581662,,0.23,74.51,0.0,2.58
Africa,2001,0.41558,0.01496,2.335352632,80.86411472,,0.46,81.21,0.0,2.62
Africa,2002,0.443584,0.01787101,2.2864,85.18146813,,0.43,83.4,0.02,2.52
Africa,2003,0.535599,0.02132901,2.6224,82.87260146,,0.61,81.69,0.02,2.79
Africa,2004,0.768280505,0.02576101,2.978849535,87.40546926,,0.78,86.54,0.02,3.26
Africa,2005,0.780382111,0.03067601,3.009669408,89.06573418,,0.83,88.72,0.02,3.62
Africa,2006,0.852565606,0.03895701,3.770404784,92.24435301,,0.87,91.92,0.03,3.64
Africa,2007,1.016223364,0.051533293,3.142048288,95.34056181,,1.18,93.99,0.04,3.53
Africa,2008,1.311778131,0.073232202,3.267395686,97.15720925,,1.29,95.63,0.05,3.9
Africa,2009,1.589230939,0.096152927,3.56272219,99.7611369,,1.7,98.68,0.07,4.18
Africa,2010,2.284582434,0.21252075,3.825406558,107.4268326,,2.37,109.5,0.41,4.61
Africa,2011,2.386503939,0.601454301,3.929656611,110.444821,,2.43,110.57,0.5,4.8
Africa,2012,2.51563024,0.994443126,4.085024546,110.9523002,,2.37,111.66,0.65,5.09
Africa,2013,3.593447303,0.78891014,4.4308941,117.6388464,,3.55,116.88,0.74,5.72
Africa,2014,5.060072834,1.93770017,5.521055906,123.7267948,,5.59,122.18,1.86,9.52
Africa,2015,8.910686283,3.592173384,7.191202122,120.1678361,,8.58,120.03,2.91,10.88
Africa,2016,11.17637067,5.12019689,7.281251193,116.7188052,,10.47,119.05,4.21,10.01
Africa,2017,12.4577741,6.902446607,7.653766329,125.8165222,,11.54,124.99,5.6,9.85
Africa,2018,14.77072335,8.295433824,8.097891299,133.140498,,15.73,130.67,7.15,9.45
Africa,2019,18.85772913,10.90690156,8.22808243,137.2155108,,17.47,132.43,7.86,9.85
Africa,2020,21.78984307,12.40778213,8.068135119,142.5749961,,17.0,139.46,8.33,9.89
Algeria,1990,0.0,0.0,0.0,0.135,DZA,0.0,0.135,0.0,0.0
Algeria,1991,0.0,0.0,0.0,0.293,DZA,0.0,0.293,0.0,0.0
Algeria,1992,0.0,0.0,0.0,0.199,DZA,0.0,0.199,0.0,0.0
Algeria,1993,0.0,0.0,0.0,0.353,DZA,0.0,0.353,0.0,0.0
Algeria,1994,0.0,0.0,0.0,0.166,DZA,0.0,0.166,0.0,0.0
Algeria,1995,0.0,0.0,0.0,0.193,DZA,0.0,0.193,0.0,0.0
Algeria,1996,0.0,0.0,0.0,0.135,DZA,0.0,0.135,0.0,0.0
Algeria,1997,0.0,0.0,0.0,0.075,DZA,0.0,0.075,0.0,0.0
Algeria,1998,0.0,0.0,0.0,0.215,DZA,0.0,0.215,0.0,0.0
Algeria,1999,0.0,0.0,0.0,0.203,DZA,0.0,0.203,0.0,0.0
Algeria,2000,0.0,0.0,0.0,0.054,DZA,0.0,0.05,0.0,0.0
Algeria,2001,0.0,0.0,0.0,0.069,DZA,0.0,0.07,0.0,0.0
Algeria,2002,0.0,0.0,0.0,0.057,DZA,0.0,0.06,0.0,0.0
Algeria,2003,0.0,0.0,0.0,0.265,DZA,0.0,0.26,0.0,0.0
Algeria,2004,0.0,0.0,0.0,0.251,DZA,0.0,0.25,0.0,0.0
Algeria,2005,0.0,0.0,0.0,0.5553,DZA,0.0,0.55,0.0,0.0
Algeria,2006,0.0,0.0,0.0,0.2176,DZA,0.0,0.22,0.0,0.0
Algeria,2007,0.0,0.0,0.0,0.226,DZA,0.0,0.22,0.0,0.0
Algeria,2008,0.0,0.0,0.0,0.283,DZA,0.0,0.28,0.0,0.0
Algeria,2009,0.0,0.0,0.0,0.342,DZA,0.0,0.3,0.0,0.0
Algeria,2010,0.0,0.0091,0.0,0.173,DZA,0.0,0.17,0.0,0.0
Algeria,2011,0.0,0.01811875,0.0,0.378,DZA,0.0,0.5,0.0,0.0
Algeria,2012,0.0,0.026723014,0.0,0.389,DZA,0.0,0.62,0.0,0.0
Algeria,2013,0.0,0.0286,0.0,0.099,DZA,0.0,0.33,0.0,0.0
Algeria,2014,0.001,0.06,0.0,0.193,DZA,0.0,0.25,0.0,0.0
Algeria,2015,0.019,0.058,0.0,0.145,DZA,0.02,0.14,0.06,0.0
Algeria,2016,0.019052055,0.245,0.0,0.072,DZA,0.03,0.22,0.09,0.0
Algeria,2017,0.019,0.504,0.0,0.056,DZA,0.01,0.06,0.57,0.0
Algeria,2018,0.01,0.603,0.0,0.117,DZA,0.01,0.12,0.65,0.0
Algeria,2019,0.01,0.615,0.0,0.152,DZA,0.01,0.15,0.68,0.0
Algeria,2020,0.008,0.6,0.0,0.05,DZA,0.01,0.09,0.68,0.0
Argentina,1990,0.0,0.0,0.106763284,17.876,ARG,0.0,17.876,0.0,0.107
Argentina,1991,0.0,0.0,0.099600404,16.221,ARG,0.0,16.221,0.0,0.1
Argentina,1992,0.0,0.0,0.101865495,19.77905051,ARG,0.0,19.779,0.0,0.102
Argentina,1993,0.0,0.0,0.107438403,23.55547475,ARG,0.0,23.555,0.0,0.107
Argentina,1994,0.0,0.0,0.119290038,27.97278788,ARG,0.0,27.973,0.0,0.119
Argentina,1995,0.0,0.0,0.115592457,28.45812121,ARG,0.0,28.458,0.0,0.116
Argentina,1996,0.009618,0.0,0.351397492,25.94518182,ARG,0.01,25.945,0.0,0.351
Argentina,1997,0.014592,0.0,0.44563205,33.0299596,ARG,0.015,33.03,0.0,0.446
Argentina,1998,0.032541,1.7e-05,0.463881203,32.42178788,ARG,0.033,32.422,0.0,0.464
Argentina,1999,0.034781,2.6e-05,0.650455143,26.53007071,ARG,0.035,26.53,0.0,0.65
Argentina,2000,0.034758,3.6e-05,0.67501431,34.0340101,ARG,0.04,28.49,0.0,0.7
Argentina,2001,0.049361,4.3e-05,0.60932585,41.90326263,ARG,0.05,36.65,0.0,0.64
Argentina,2002,0.073405,4.7e-05,0.850248638,41.46705051,ARG,0.07,35.49,0.0,0.92
Argentina,2003,0.077954,6.5e-05,1.014079858,39.08008081,ARG,0.08,33.47,0.0,1.06
Argentina,2004,0.072446,7e-05,0.90029509,35.40287879,ARG,0.07,30.14,0.0,0.92
Argentina,2005,0.071719665,8.1e-05,1.074072901,39.35009091,ARG,0.08,33.66,0.0,1.1
Argentina,2006,0.06964,9e-05,1.567410315,43.624,ARG,0.07,37.57,0.0,1.69
Argentina,2007,0.061593,0.0001089,1.575708696,37.741,ARG,0.06,30.06,0.0,1.71
Argentina,2008,0.041951078,0.0001437,1.693536384,37.199,ARG,0.04,30.11,0.0,1.71
Argentina,2009,0.036831529,7.6084e-05,1.728756162,40.783,ARG,0.04,33.53,0.0,1.78
Argentina,2010,0.025351606,8.589e-05,2.01325481,40.543,ARG,0.03,33.02,0.0,2.07
Argentina,2011,0.02659055,0.001614,2.190205828,39.641,ARG,0.06,31.03,0.0,2.26
Argentina,2012,0.369861999,0.008172967,2.45382161,36.876,ARG,0.82,28.71,0.01,2.49
Argentina,2013,0.453354876,0.015074079,2.45735005,40.7,ARG,1.01,32.51,0.01,2.5
Argentina,2014,0.619491,0.015944,2.302025252,40.864,ARG,0.62,32.33,0.02,2.37
Argentina,2015,0.593334963,0.014683,2.378258598,41.7709,ARG,0.59,31.94,0.01,2.47
Argentina,2016,0.547359,0.014273,1.963408643,38.25439327,ARG,0.55,29.4,0.01,2.01
Argentina,2017,0.611567,0.016417,2.383654508,41.54297858,ARG,0.61,31.46,0.02,2.47
Argentina,2018,1.412743,0.10813,0.473010421,41.64786518,ARG,1.41,31.96,0.11,0.49
Argentina,2019,4.995966424,0.799697913,0.622944562,37.06678706,ARG,5.0,27.33,0.8,0.65
Argentina,2020,9.470297617,1.344340935,0.413941191,30.54359219,ARG,9.41,24.26,1.35,0.43
Asia Pacific,1990,0.032323232,0.004,22.33408198,399.2715428,,0.032,399.272,0.004,22.334
Asia Pacific,1991,0.122000909,0.00945,22.83825194,410.5242724,,0.122,410.524,0.009,22.838
Asia Pacific,1992,0.22047404,0.0276,23.00633425,401.5246502,,0.22,401.525,0.028,23.006
Asia Pacific,1993,0.311836667,0.0431,22.89851394,440.2869206,,0.312,440.287,0.043,22.899
Asia Pacific,1994,0.583588081,0.0534,26.37097959,443.2981976,,0.584,443.298,0.053,26.371
Asia Pacific,1995,1.121601313,0.070660101,30.90213872,483.4344319,,1.122,483.434,0.071,30.902
Asia Pacific,1996,0.991205066,0.098160606,31.45602397,473.4094407,,0.991,473.409,0.098,31.456
Asia Pacific,1997,1.213950041,0.147015452,34.93782766,475.8946677,,1.214,475.895,0.147,34.938
Asia Pacific,1998,1.489550167,0.202918856,37.54185188,506.6742947,,1.49,506.674,0.203,37.542
Asia Pacific,1999,2.053249006,0.286266606,41.20269497,500.2429652,,2.053,500.243,0.286,41.203
Asia Pacific,2000,2.56394698,0.428484426,44.60806485,521.6528876,,2.564,521.653,0.428,44.608
Asia Pacific,2001,3.517409418,0.608506426,45.24425452,570.4635729,,3.517,570.464,0.609,45.244
Asia Pacific,2002,4.067013247,0.829111425,47.07413449,578.9087814,,4.067,578.909,0.829,47.074
Asia Pacific,2003,5.340875855,1.116570608,49.24454746,594.3543015,,5.341,594.354,1.117,49.245
Asia Pacific,2004,9.1866934,1.463785013,53.02552883,699.1522028,,9.187,699.152,1.464,53.026
Asia Pacific,2005,12.01919361,1.852540528,60.19216537,727.9606312,,12.019,727.961,1.853,60.192
Asia Pacific,2006,18.56980713,2.29110778,64.50055645,801.697905,,18.57,801.698,2.291,64.501
Asia Pacific,2007,24.60313141,2.748389875,71.1346546,852.1739291,,24.603,852.174,2.748,71.135
Asia Pacific,2008,36.0798946,3.330039168,78.9708115,997.7769593,,36.08,997.777,3.33,78.971
Asia Pacific,2009,54.84797828,4.382369759,87.28922991,968.0869271,,54.848,968.087,4.382,87.289
Asia Pacific,2010,81.48419655,6.73715687,99.38898179,1097.622159,,81.484,1097.622,6.737,99.389
Asia Pacific,2011,113.5510876,12.15284375,108.7470051,1117.742583,,113.551,1117.743,12.153,108.747
Asia Pacific,2012,147.7235801,17.52820574,117.6274048,1261.911788,,147.724,1261.912,17.528,117.627
Asia Pacific,2013,188.4721434,32.32084555,129.5574817,1367.364304,,188.472,1367.364,32.321,129.557
Asia Pacific,2014,214.2726871,62.82208136,148.0775123,1521.930169,,214.273,1521.93,62.822,148.078
Asia Pacific,2015,243.0600532,95.346154,165.5571168,1565.604681,,243.06,1565.605,95.346,165.557
Asia Pacific,2016,311.2076135,141.5306366,170.8474133,1628.172172,,311.208,1628.172,141.531,170.847
Asia Pacific,2017,387.0977782,219.8052652,197.4444286,1671.439055,,387.098,1671.439,219.805,197.444
Asia Pacific,2018,461.9517581,309.1100675,221.8257512,1711.995847,,461.952,1711.996,309.11,221.826
Asia Pacific,2019,509.3683071,392.0389961,247.8146462,1791.4782,,509.368,1791.478,392.039,247.815
Asia Pacific,2020,572.6361061,470.2983146,279.0733629,1847.216313,,572.636,1847.216,470.298,279.073
Australia,1990,0.0,0.0,0.7595,14.7595,AUS,0.0,14.76,0.0,0.76
Australia,1991,0.0,0.00545,0.7195,15.6535,AUS,0.0,15.654,0.005,0.72
Australia,1992,0.0,0.0121,0.67,15.9415,AUS,0.0,15.942,0.012,0.67
Australia,1993,0.002,0.0146,0.67,16.387,AUS,0.002,16.387,0.015,0.67
Australia,1994,0.0055,0.0174,0.6965,16.15,AUS,0.006,16.15,0.017,0.696
Australia,1995,0.007,0.02115,0.8255,15.631,AUS,0.007,15.631,0.021,0.826
Australia,1996,0.007,0.0256,0.9465,15.9685,AUS,0.007,15.968,0.026,0.946
Australia,1997,0.0075,0.03065,0.997,15.9525,AUS,0.008,15.952,0.031,0.997
Australia,1998,0.018,0.0356,1.081,15.798,AUS,0.018,15.798,0.036,1.081
Australia,1999,0.043,0.0406,1.1335,16.2815,AUS,0.043,16.282,0.041,1.134
Australia,2000,0.134,0.04675,0.8895,16.4665,AUS,0.06,16.2,0.04,0.81
Australia,2001,0.287,0.05415,0.7975,16.1235,AUS,0.21,16.4,0.04,0.75
Australia,2002,0.53355,0.0583,1.2668,16.095,AUS,0.36,15.72,0.05,1.22
Australia,2003,0.70405,0.0632,1.6918,16.21055,AUS,0.7,16.13,0.06,1.61
Australia,2004,0.795,0.07295,2.81525,15.68665,AUS,0.7,15.89,0.07,2.75
Australia,2005,1.29905,0.08405,3.871,15.4657,AUS,0.88,15.16,0.08,3.63
Australia,2006,2.1621,0.0975,3.9325,14.9451,AUS,1.71,15.77,0.09,3.62
Australia,2007,2.8521,0.11375,4.275,13.04895,AUS,2.61,14.2,0.11,4.01
Australia,2008,3.45845,0.1392,3.6961,11.81515,AUS,3.09,11.79,0.13,3.48
Australia,2009,4.43775,0.29024203,2.7868,12.64205,AUS,3.81,11.68,0.16,2.66
Australia,2010,4.985,0.97764828,2.44155,13.746,AUS,5.05,13.5,0.39,2.35
Australia,2011,6.432,2.04454657,2.57395,19.572,AUS,6.09,16.69,1.39,2.46
Australia,2012,7.725,2.412,3.09785,17.036,AUS,6.97,13.98,2.33,2.99
Australia,2013,9.259,3.8474,3.33165,19.089,AUS,7.96,18.12,3.48,3.18
Australia,2014,9.777,4.952,3.546362,14.484,AUS,10.25,18.34,4.01,3.28
Australia,2015,11.83300209,6.195524404,3.678061995,14.08659847,AUS,11.47,13.32,5.02,3.46
Australia,2016,13.03970488,7.439775697,3.627512928,17.6294521,AUS,12.2,15.02,6.21,3.46
Australia,2017,13.21079043,8.91755657,3.561683859,13.49974762,AUS,12.6,16.04,8.07,3.32
Australia,2018,16.26195432,12.33254445,3.58814896,17.33836109,AUS,15.16,15.83,9.93,3.43
Australia,2019,19.47168808,18.2969867,3.467726188,14.1138688,AUS,17.71,15.54,14.85,3.28
Australia,2020,22.6068918,23.84266127,3.410424136,14.5346444,AUS,20.4,15.15,21.03,3.12
Austria,1990,0.0,0.0,1.142485,31.509,AUT,0.0,31.51,0.0,1.13
Austria,1991,0.0,0.0,1.225832,31.4434,AUT,0.0,31.44,0.0,1.21
Austria,1992,0.0,0.0,1.329164,34.8484,AUT,0.0,34.85,0.0,1.31
Austria,1993,0.0,0.001,1.361111,36.705556,AUT,0.0,36.71,0.0,1.34
Austria,1994,0.0,0.001,1.210555,35.7075,AUT,0.0,35.71,0.0,1.19
Austria,1995,0.001,0.001,1.857221,37.067222,AUT,0.0,37.07,0.0,1.84
Austria,1996,0.005,0.001,1.589444,34.216111,AUT,0.0,34.22,0.0,1.57
Austria,1997,0.02,0.002,1.711389,36.105278,AUT,0.02,36.11,0.0,1.69
Austria,1998,0.045,0.002,1.842777,37.163333,AUT,0.05,37.16,0.0,1.82
Austria,1999,0.051,0.002,1.596911819,40.6991208,AUT,0.05,40.7,0.0,1.6
Austria,2000,0.067,0.003,1.52827932,41.83565055,AUT,0.07,41.84,0.0,1.53
Austria,2001,0.172,0.005,1.667812,40.45548165,AUT,0.1,40.46,0.01,1.67
Austria,2002,0.203,0.009,1.520444,40.22700281,AUT,0.14,40.23,0.01,1.52
Austria,2003,0.366,0.015,1.711921,33.21499204,AUT,0.37,33.21,0.01,1.65
Austria,2004,0.924,0.018,2.05973,36.762283,AUT,0.93,36.76,0.02,1.91
Austria,2005,1.331276757,0.021018375,2.437154339,37.09513834,AUT,1.33,37.1,0.02,2.43
Austria,2006,1.752792984,0.022386875,3.237502556,35.65608477,AUT,1.75,35.66,0.02,3.23
Austria,2007,2.037184927,0.024238375,4.061606911,37.05445286,AUT,2.04,37.05,0.02,4.06
Austria,2008,2.011257409,0.03011991,4.302304141,38.32949104,AUT,2.01,38.33,0.03,4.16
Austria,2009,1.954040168,0.04891428,4.277982167,40.89630336,AUT,1.95,40.9,0.05,4.28
Austria,2010,2.063913736,0.08881314,4.463430081,38.36341829,AUT,2.06,38.36,0.09,4.48
Austria,2011,1.93623636,0.17406996,4.516752009,34.23908351,AUT,1.94,34.24,0.17,4.56
Austria,2012,2.462029019,0.33748305,4.608036501,43.80410469,AUT,2.46,43.85,0.34,4.68
Austria,2013,3.153231562,0.625974,4.584281709,42.0465273,AUT,3.15,42.02,0.63,4.7
Austria,2014,3.845768035,0.785246,4.336296196,41.01025937,AUT,3.85,41.01,0.79,4.55
Austria,2015,4.840343102,0.937098,4.503546527,37.05552838,AUT,4.84,37.16,0.94,4.65
Austria,2016,5.234838273,1.096016,4.691227039,39.84471615,AUT,5.23,39.97,1.1,4.78
Austria,2017,6.571511136,1.268971,4.920933436,38.293433,AUT,6.57,38.29,1.27,4.92
Austria,2018,6.030429449,1.455132,4.930195781,37.637911,AUT,6.03,37.64,1.46,4.93
Austria,2019,7.477363299,1.702093,4.745310238,40.455346,AUT,7.45,40.83,1.7,4.66
Austria,2020,6.794140175,1.590574729,5.253975479,40.95375978,AUT,6.79,42.0,2.04,4.59
Azerbaijan,1990,0.0,0.0,0.0,1.658,AZE,0.0,1.658,0.0,0.0
Azerbaijan,1991,0.0,0.0,0.0,1.7593,AZE,0.0,1.759,0.0,0.0
Azerbaijan,1992,0.0,0.0,0.0,1.7473,AZE,0.0,1.747,0.0,0.0
Azerbaijan,1993,0.0,0.0,0.0,2.426,AZE,0.0,2.426,0.0,0.0
Azerbaijan,1994,0.0,0.0,0.0,1.83,AZE,0.0,1.83,0.0,0.0
Azerbaijan,1995,0.0,0.0,0.0,1.556,AZE,0.0,1.556,0.0,0.0
Azerbaijan,1996,0.0,0.0,0.0,1.537,AZE,0.0,1.537,0.0,0.0
Azerbaijan,1997,0.0,0.0,0.0,1.712,AZE,0.0,1.712,0.0,0.0
Azerbaijan,1998,0.0,0.0,0.0,1.951,AZE,0.0,1.951,0.0,0.0
Azerbaijan,1999,0.0,0.0,0.0,1.506,AZE,0.0,1.506,0.0,0.0
Azerbaijan,2000,0.0,0.0,0.0,1.534,AZE,0.0,1.52,0.0,0.0
Azerbaijan,2001,0.0,0.0,0.0,1.301,AZE,0.0,1.29,0.0,0.0
Azerbaijan,2002,0.0,0.0,0.0,2.02,AZE,0.0,2.0,0.0,0.0
Azerbaijan,2003,0.0,0.0,0.0,2.47,AZE,0.0,2.44,0.0,0.0
Azerbaijan,2004,0.0,0.0,0.0,2.755,AZE,0.0,2.73,0.0,0.0
Azerbaijan,2005,0.0,0.0,0.0,3.0094,AZE,0.0,2.98,0.0,0.0
Azerbaijan,2006,0.0,0.0,0.0,2.518,AZE,0.0,2.49,0.0,0.0
Azerbaijan,2007,0.0,0.0,0.0,2.364,AZE,0.0,2.34,0.0,0.0
Azerbaijan,2008,0.0,0.0,0.0,2.232,AZE,0.0,2.21,0.0,0.0
Azerbaijan,2009,0.0021,0.0,0.0,2.3084,AZE,0.0,2.29,0.0,0.0
Azerbaijan,2010,0.0005,0.0,0.0,3.4463,AZE,0.0,3.41,0.0,0.0
Azerbaijan,2011,0.0,0.0,0.0,2.6758,AZE,0.0,2.65,0.0,0.0
Azerbaijan,2012,0.0,0.0,0.0,1.821,AZE,0.0,1.8,0.0,0.0
Azerbaijan,2013,0.0008,0.0008,0.067,1.4891,AZE,0.0,1.47,0.0,0.0
Azerbaijan,2014,0.0023,0.0029,0.087,1.2997,AZE,0.0,1.29,0.0,0.0
Azerbaijan,2015,0.0046,0.0046,0.0909,1.6375,AZE,0.0,1.62,0.0,0.0
Azerbaijan,2016,0.0228,0.0353,0.08725,1.9593,AZE,0.02,1.94,0.04,0.0
Azerbaijan,2017,0.0221,0.0372,0.08515,1.7464,AZE,0.02,1.73,0.04,0.0
Azerbaijan,2018,0.0827,0.03926,0.0811,1.768,AZE,0.08,1.75,0.04,0.0
Azerbaijan,2019,0.1054,0.0442,0.09795,1.5648,AZE,0.1,1.55,0.04,0.0
Azerbaijan,2020,0.0951,0.0472,0.098218356,1.068,AZE,0.1,1.07,0.05,0.0
Bangladesh,1990,0.0,0.0,0.0,0.884,BGD,0.0,0.884,0.0,0.0
Bangladesh,1991,0.0,0.0,0.0,0.838,BGD,0.0,0.838,0.0,0.0
Bangladesh,1992,0.0,0.0,0.0,0.796,BGD,0.0,0.796,0.0,0.0
Bangladesh,1993,0.0,0.0,0.0,0.608,BGD,0.0,0.608,0.0,0.0
Bangladesh,1994,0.0,0.0,0.0,0.847,BGD,0.0,0.847,0.0,0.0
Bangladesh,1995,0.0,0.0,0.0,0.372,BGD,0.0,0.372,0.0,0.0
Bangladesh,1996,0.0,0.0,0.0,0.739,BGD,0.0,0.739,0.0,0.0
Bangladesh,1997,0.0,0.0,0.0,0.719,BGD,0.0,0.719,0.0,0.0
Bangladesh,1998,0.0,0.0,0.0,0.865,BGD,0.0,0.865,0.0,0.0
Bangladesh,1999,0.0,0.0,0.0,0.833,BGD,0.0,0.833,0.0,0.0
Bangladesh,2000,0.0,0.0,0.0,0.749,BGD,0.0,0.94,0.0,0.0
Bangladesh,2001,0.0,0.0,0.0,0.993,BGD,0.0,0.98,0.0,0.0
Bangladesh,2002,0.0,0.0001,0.0,0.749,BGD,0.0,1.05,0.0,0.0
Bangladesh,2003,0.0,0.0009,0.0,0.749,BGD,0.0,1.12,0.0,0.0
Bangladesh,2004,0.0,0.0019,0.0,0.749,BGD,0.0,1.21,0.0,0.0
Bangladesh,2005,0.0,0.0034,0.0,0.749,BGD,0.0,1.28,0.0,0.0
Bangladesh,2006,0.0016,0.0054,0.0,0.749,BGD,0.0,1.38,0.01,0.0
Bangladesh,2007,0.0016,0.009,0.0,0.749,BGD,0.0,0.74,0.02,0.0
Bangladesh,2008,0.0029,0.0152,0.0,0.95,BGD,0.0,0.94,0.02,0.0
Bangladesh,2009,0.0051,0.0251,0.001,0.417,BGD,0.0,0.44,0.03,0.0
Bangladesh,2010,0.0051,0.0443,0.002,0.729,BGD,0.0,0.76,0.07,0.01
Bangladesh,2011,0.0051,0.0584,0.003,0.872,BGD,0.0,0.92,0.06,0.01
Bangladesh,2012,0.0051,0.0909,0.004,0.777,BGD,0.0,0.82,0.0,0.02
Bangladesh,2013,0.005081,0.129563,0.004993,0.728378728,BGD,0.0,0.94,0.14,0.02
Bangladesh,2014,0.005081,0.166947,0.006015,0.566453438,BGD,0.0,0.62,0.17,0.03
Bangladesh,2015,0.005081,0.198389,0.002682,0.898146455,BGD,0.01,0.59,0.21,0.03
Bangladesh,2016,0.005081,0.219999,0.002877,0.884632595,BGD,0.01,1.01,0.23,0.03
Bangladesh,2017,0.005081,0.253361,0.002877,1.029528088,BGD,0.01,1.03,0.27,0.03
Bangladesh,2018,0.005081,0.275068,0.002877,0.865411112,BGD,0.01,1.08,0.29,0.03
Bangladesh,2019,0.005081,0.349231785,0.002877,0.823091189,BGD,0.01,0.82,0.37,0.03
Bangladesh,2020,0.005081,0.412784892,0.003035367,0.700670737,BGD,0.01,0.61,0.42,0.03
Belarus,1990,0.0,0.0,0.0,0.02,BLR,0.0,0.02,0.0,0.0
Belarus,1991,0.0,0.0,0.0,0.018,BLR,0.0,0.018,0.0,0.0
Belarus,1992,0.0,0.0,0.0,0.017,BLR,0.0,0.017,0.0,0.0
Belarus,1993,0.0,0.0,0.0,0.019,BLR,0.0,0.019,0.0,0.0
Belarus,1994,0.0,0.0,0.0,0.019,BLR,0.0,0.019,0.0,0.0
Belarus,1995,0.0,0.0,0.0,0.02,BLR,0.0,0.02,0.0,0.0
Belarus,1996,0.0,0.0,0.0,0.016,BLR,0.0,0.016,0.0,0.0
Belarus,1997,0.0,0.0,0.0,0.021,BLR,0.0,0.021,0.0,0.0
Belarus,1998,0.0,0.0,0.0,0.028,BLR,0.0,0.028,0.0,0.0
Belarus,1999,0.0,0.0,0.0,0.019,BLR,0.0,0.019,0.0,0.0
Belarus,2000,0.0,0.0,0.0,0.027,BLR,0.0,0.03,0.0,0.0
Belarus,2001,0.0,0.0,0.0,0.03,BLR,0.0,0.03,0.0,0.0
Belarus,2002,0.0,0.0,0.0,0.029,BLR,0.0,0.03,0.0,0.0
Belarus,2003,0.0,0.0,0.0,0.028,BLR,0.0,0.03,0.0,0.0
Belarus,2004,0.001010101,0.0,0.0,0.033,BLR,0.0,0.03,0.0,0.0
Belarus,2005,0.001,0.0,0.0,0.036,BLR,0.0,0.04,0.0,0.0
Belarus,2006,0.001,0.0,0.002,0.035,BLR,0.0,0.04,0.0,0.02
Belarus,2007,0.001,0.0,0.014,0.035,BLR,0.0,0.04,0.0,0.03
Belarus,2008,0.001,0.0,0.033,0.039,BLR,0.0,0.04,0.0,0.07
Belarus,2009,0.001,0.0,0.06,0.045,BLR,0.0,0.04,0.0,0.06
Belarus,2010,0.001,0.0,0.084,0.045,BLR,0.0,0.05,0.0,0.07
Belarus,2011,0.004,0.0,0.095,0.042,BLR,0.0,0.04,0.0,0.08
Belarus,2012,0.006,0.0,0.095,0.072,BLR,0.01,0.07,0.0,0.07
Belarus,2013,0.008,0.0004,0.082,0.138,BLR,0.01,0.14,0.0,0.14
Belarus,2014,0.009,0.002,0.079,0.121,BLR,0.01,0.12,0.0,0.14
Belarus,2015,0.039,0.009,0.094,0.111,BLR,0.03,0.11,0.01,0.13
Belarus,2016,0.073,0.026,0.094,0.142,BLR,0.08,0.14,0.03,0.15
Belarus,2017,0.097,0.089,0.106,0.406,BLR,0.1,0.4,0.09,0.15
Belarus,2018,0.099,0.118,0.109,0.324,BLR,0.1,0.32,0.18,0.21
Belarus,2019,0.166,0.179,0.11,0.351,BLR,0.18,0.34,0.18,0.23
Belarus,2020,0.183883978,0.181743295,0.11206379,0.353340883,BLR,0.19,0.39,0.17,0.51
Belgium,1990,0.007,0.0,0.282,0.266,BEL,0.01,0.27,0.0,0.28
Belgium,1991,0.008,0.0,0.299,0.229,BEL,0.01,0.23,0.0,0.3
Belgium,1992,0.009,0.0,0.267,0.341,BEL,0.01,0.34,0.0,0.27
Belgium,1993,0.008,0.0,0.245,0.254,BEL,0.01,0.25,0.0,0.25
Belgium,1994,0.009,0.0,0.245,0.346,BEL,0.01,0.35,0.0,0.25
Belgium,1995,0.009,0.0,0.321,0.338,BEL,0.01,0.34,0.0,0.32
Belgium,1996,0.008,0.0,0.314,0.239,BEL,0.01,0.24,0.0,0.31
Belgium,1997,0.008,0.0,0.275,0.305,BEL,0.01,0.31,0.0,0.28
Belgium,1998,0.011,0.0,0.359,0.389,BEL,0.01,0.39,0.0,0.36
Belgium,1999,0.013,0.0,0.496,0.341,BEL,0.01,0.34,0.0,0.5
Belgium,2000,0.016,0.0,0.568,0.46,BEL,0.02,0.46,0.0,0.57
Belgium,2001,0.037,0.0,0.597,0.441,BEL,0.04,0.44,0.0,0.6
Belgium,2002,0.057,0.0,0.721,0.36,BEL,0.06,0.36,0.0,0.72
Belgium,2003,0.088,0.0,0.857,0.247,BEL,0.09,0.25,0.0,0.86
Belgium,2004,0.142,0.001,1.037,0.317,BEL,0.14,0.32,0.0,1.04
Belgium,2005,0.227,0.001,1.59,0.288,BEL,0.23,0.29,0.0,1.59
Belgium,2006,0.366,0.002,2.225,0.359,BEL,0.37,0.36,0.0,2.23
Belgium,2007,0.491,0.006,2.6,0.389,BEL,0.49,0.39,0.01,2.6
Belgium,2008,0.637,0.042,3.329,0.41,BEL,0.64,0.41,0.04,3.33
Belgium,2009,0.996,0.166,3.949,0.328,BEL,1.0,0.33,0.17,3.95
Belgium,2010,1.292,0.56,4.330428,0.312,BEL,1.29,0.31,0.56,4.38
Belgium,2011,2.312,1.169,4.699934,0.196,BEL,2.31,0.2,1.17,4.63
Belgium,2012,2.751,2.148,5.202093,0.357,BEL,2.75,0.36,2.15,5.24
Belgium,2013,3.665,2.644,4.98362,0.38,BEL,3.66,0.38,2.64,5.03
